household_key,pred_purchases_6m,clv_6m,churn_prob,frequency,recency,monetary,total_net_revenue
1075,16.85308877,360.2204342,0.001322651129,67,43,1469.02,1469.02
875,17.01313368,359.2842303,0.001322651129,68,43,1473.27,1473.27
336,11.4378786,285.9015637,0.001322651129,120,45,3089.74,3089.74
1123,15.1555923,791.5545466,0.001322651129,73,58,3915.81,3915.81
1392,0.4597862852,9.486032116,0.001322651129,109,71,2315.07,2315.07
1505,0.1487365376,5.686013704,0.001322651129,103,76,4053.23,4053.23
2430,9.121932852,279.7410134,0.001322651129,60,77,1885.95,1885.95
1251,10.13861781,61.06390526,0.001322651129,53,78,325.77,325.77
1122,0,0.000000000172756585,0.001322651129,77,234,1236.98,1236.98
318,24.46201332,321.3019889,0.002354771784,92,21,1242.25,1242.25
2262,38.05651091,364.6047965,0.002354771784,151,21,1491,1491
674,34.83801498,1149.396673,0.002354771784,139,21,4727.57,4727.57
2078,23.22054425,570.3088043,0.002354771784,92,22,2323.92,2323.92
1806,35.19946699,977.6310071,0.002354771784,139,23,3979.6,3979.6
595,37.74879289,595.3912067,0.002354771784,146,23,2373.74,2373.74
687,16.822379,761.3948373,0.002354771784,69,24,3205.8,3205.8
1517,35.32192524,982.6719158,0.002354771784,135,24,3871.04,3871.04
654,35.69205001,552.6013518,0.002354771784,146,25,2330.08,2330.08
467,34.20691422,604.8511919,0.002354771784,145,26,2642.99,2642.99
462,24.94061877,377.6429748,0.002354771784,97,26,1510.63,1510.63
17,19.9406919,802.1331029,0.002354771784,124,43,5139.63,5139.63
300,16.71816939,754.8324234,0.002354771784,107,47,4974.31,4974.31
1182,11.04082177,169.9834483,0.002354771784,124,48,1966.38,1966.38
1834,0.01819233603,0.4928474773,0.002354771784,135,73,3769.5,3769.5
74,0.04477818361,0.6793484445,0.002354771784,131,76,2047.64,2047.64
1420,3.332784057,159.7731003,0.002354771784,79,78,3891.97,3891.97
1892,20.13035459,351.1067155,0.002713687986,307,21,5532.21,5532.21
306,48.01883842,1437.903806,0.002713687986,185,21,5716.73,5716.73
1364,34.6861175,572.2827332,0.002713687986,145,22,2466.05,2466.05
165,43.00662648,717.7235431,0.002713687986,174,22,2995.47,2995.47
2452,36.57810358,743.7214402,0.002713687986,146,22,3060.36,3060.36
2337,0,0,0.002713687986,1210,23,11703.97,11703.97
1659,35.09116094,738.9027165,0.002713687986,130,23,2820.61,2820.61
491,32.51689784,1230.696331,0.002713687986,124,23,4835.71,4835.71
1394,39.54978212,1115.456699,0.002713687986,151,25,4391.58,4391.58
2415,33.41470431,431.6223224,0.002713687986,126,25,1676.34,1676.34
2324,33.09187614,587.4366745,0.002713687986,146,29,2671.77,2671.77
383,14.1475769,527.1315332,0.002713687986,150,39,5763.44,5763.44
321,22.22356796,1208.632084,0.002713687986,106,42,5935.66,5935.66
738,28.1660502,702.7039148,0.003677422913,101,21,2593.12,2593.12
1548,28.21528857,941.9495664,0.003677422913,112,22,3850.53,3850.53
2289,24.91805205,668.664892,0.003677422913,88,23,2428.06,2428.06
2171,29.84426913,1092.035066,0.003677422913,107,23,4031.08,4031.08
473,18.99199851,847.9853481,0.003677422913,70,23,3208.71,3208.71
138,18.17021315,918.7565289,0.003677422913,68,24,3529.19,3529.19
2418,30.41555316,411.2029295,0.003677422913,113,25,1572.61,1572.61
1756,17.58349031,855.2061885,0.003677422913,67,25,3344.29,3344.29
1017,15.79421046,839.8668279,0.003677422913,63,31,3436.26,3436.26
65,1.738086942,28.24783943,0.003677422913,122,61,2042.17,2042.17
1508,11.19329303,248.7034218,0.003677422913,81,63,1849.2,1849.2
2013,0.002056171123,0.0251585508,0.003677422913,94,116,1182.47,1182.47
1725,5.173576629,224.6296528,0.004311706488,19,21,826.74,826.74
1641,12.896502,155.2722738,0.004311706488,47,25,577.62,577.62
627,12.31101687,478.1149305,0.004311706488,45,25,1785.46,1785.46
1938,7.41704404,270.1111428,0.004311706488,28,27,1032.95,1032.95
1698,10.19730161,462.7486148,0.004311706488,38,30,1757.51,1757.51
832,3.618403569,125.252658,0.004311706488,14,32,479.24,479.24
2153,10.99422381,245.4609038,0.004311706488,41,38,933.43,933.43
984,8.493299552,318.6626038,0.004311706488,32,48,1219.71,1219.71
1360,5.953628294,161.9218788,0.004311706488,23,59,630.19,630.19
237,1.676237412,167.0335585,0.004311706488,6,78,549.59,549.59
1771,2.714279848,134.5459376,0.004311706488,11,83,532.2,532.2
2390,4.672587946,101.8368361,0.004311706488,47,108,1046.59,1046.59
2071,50.21546091,392.2459187,0.005,215,21,1732.97,1732.97
1607,35.82766465,977.9662216,0.005,138,22,3882.88,3882.88
598,48.33468696,737.551451,0.005,213,22,3354.9,3354.9
920,47.73504386,1143.480825,0.005,238,22,5887.36,5887.36
386,38.10134684,613.8525311,0.005,281,22,4676.43,4676.43
1402,41.35455287,545.8115862,0.005,165,23,2245.76,2245.76
1849,40.089645,639.8663794,0.005,162,23,2666.5,2666.5
235,43.70605682,2573.473421,0.005,200,24,12156.64,12156.64
2010,16.33237156,441.412274,0.005,58,24,1605.98,1605.98
263,3.833141119,67.00579585,0.005,325,24,5870.33,5870.33
1336,31.18132626,1484.838626,0.005,123,24,6035.21,6035.21
1900,15.91266457,2368.332123,0.005,56,25,8541.14,8541.14
1018,39.50362769,490.5480353,0.005,167,25,2138.59,2138.59
1278,5.315616389,206.1561596,0.005,19,27,738.34,738.34
1710,34.94581612,1886.64811,0.005,215,27,11984.59,11984.59
353,30.38056695,896.1814858,0.005,125,32,3799.2,3799.2
1533,6.004692924,69.4356732,0.005,22,32,255.24,255.24
1051,14.50622856,586.0331329,0.005,55,35,2275.67,2275.67
1606,5.905286109,316.4837462,0.005,21,37,1131.91,1131.91
521,13.12321397,207.8875946,0.005,53,38,858.8,858.8
428,23.13113008,795.5162763,0.005,95,39,3361.43,3361.43
2374,18.10299149,1342.023749,0.005,82,49,6249.35,6249.35
2131,1.413304827,39.00381316,0.005,140,50,3982.87,3982.87
1157,7.605896555,197.5152204,0.005,104,58,2779.86,2779.86
556,3.736053814,174.0649971,0.005,15,64,693.86,693.86
905,7.492446714,202.8908721,0.005,31,72,851.93,851.93
2348,9.788918703,47.767813,0.005,56,75,278.87,278.87
966,4.336274638,55.2500257,0.005,16,78,202.06,202.06
1170,1.795721677,19.04702674,0.005,7,83,68.45,68.45
355,0.7858450676,40.78825623,0.005,7,361,340.34,340.34
